date,link,user_logo,screenname,full_text,media,username,location,bio,url,title,description,likes,rts,user_follower_count,quoted_status_id,id
2020-01-22T18:14:34.000Z,https://twitter.com/PrisonPlanet/status/1220047117537947661,https://pbs.twimg.com/profile_images/1341881916337889280/svFuJHGb_400x400.jpg,PrisonPlanet,"Here's how Ecudaor disposes of their litter.

Greta going to be visiting Quito any time soon, or just lecturing the U.S. &amp; Europe?

https://twitter.com/gojonewsnow/status/1218235541512228864/video/1",,Paul Joseph Watson,London,"""Watson is a brilliant polemicist."" The Spectator.....”Popular cutting edge political commentator.” The Jewish Voice.",https://twitter.com/gojonewsnow/status/1218235541512228864/video/1,,,25035,10278,1206694,,1220047117537947661
2019-12-31T22:02:46.000Z,https://twitter.com/BrentBeshore/status/1212132011890003969,https://pbs.twimg.com/profile_images/1140592638413795328/AQQs0JWa_400x400.png,BrentBeshore,"@APompliano ""Any business less than five years old is one bad decision away from failing.""",,Brent Beshore,Flyover Country,"Christian // @PermanentEquity // @CapitalCamp // Author of ""The Messy Marketplace""",,,,47,3,76433,,1212132011890003969
2020-01-20T18:49:36.000Z,https://twitter.com/jdnoc/status/1219331158602850310,https://pbs.twimg.com/profile_images/1158042147955892225/HntzpCLX_400x400.jpg,jdnoc,"Don't focus on the results. Focus on effective work.

When effective work is the focus the results are inevitable.",,Jordan O'Connor,"Rochester, NY",Tweeting about the intersection of valuable skills. Founder: @closettools. Learning: @quantsecrets. Writing: http://jdnoc.com/blog,,,,31,2,7412,,1219331158602850310
2020-01-22T20:28:07.000Z,https://twitter.com/JoshDoody/status/1220080725178888193,https://pbs.twimg.com/profile_images/589458900518182913/WvyQytlV_400x400.png,JoshDoody,"I’m answering questions on @IndieHackers for the next 30 minutes or so! Drop in to ask about salary negotiation, entrepreneurship, how I make decisions, or anything else! 

https://www.indiehackers.com/post/im-a-salary-negotiation-coach-for-experienced-software-developers-going-to-big-tech-companies-ask-me-anything-d021584177",,Josh Doody,"Gainesville, FL",I help experienced Software Developers negotiate job offers from big tech companies like Google and Amazon. Learn more: http://fearlesssalarynegotiation.com/coach,https://www.indiehackers.com/post/im-a-salary-negotiation-coach-for-experienced-software-developers-going-to-big-tech-companies-ask-me-anything-d021584177,"Stripe I'm a salary negotiation coach for experienced software developers going to big tech companies, ask me anything!","Software developers get offers from companies like Google and Facebook, then we work together to negotiate the best compensation package possible. I als...",11,3,2047,,1220080725178888193
2019-05-12T18:19:16.000Z,https://twitter.com/rrhoover/status/1127639391365627904,https://pbs.twimg.com/profile_images/1289046130366406656/-s-fxoLn_400x400.jpg,rrhoover,"I wish more people worked on things they truly enjoyed. Most hate (or at best tolerate) their job.

I think about this issue often. https://twitter.com/paulg/status/1127335187485011968",,Ryan Hoover,SF ✈️ LA,"Founder of @ProductHunt, @WeekendFund investor. Real likes, no gimmicks. ✌️😸",https://twitter.com/paulg/status/1127335187485011968,,,780,76,158871,1127335187485011968,1127639391365627904
2019-05-11T22:10:28.000Z,https://twitter.com/paulg/status/1127335187485011968,https://pbs.twimg.com/profile_images/1824002576/pg-railsconf_400x400.jpg,paulg,It's hard to beat someone at something if they enjoy it and you don't. This is true for good things like writing and dancing and also for bad things like meanness and office politics.,,Paul Graham,,,,,,6354,1722,1272032,,1127335187485011968
2020-01-23T07:26:13.000Z,https://twitter.com/adam3us/status/1220246340510203904,https://pbs.twimg.com/profile_images/924365347217723392/GrGID0Uy_400x400.jpg,adam3us,people often are not aware that with @blockstream green wallet you can use a hardware wallet like @Ledger and @Trezor directly on android phones and tablets with a micro-USB otg cable. multisig 2fa+hww+mobile=🔒https://twitter.com/adam3us/status/1220229699059814400?s=20 https://twitter.com/adam3us/status/1220246340510203904/video/1,https://pbs.twimg.com/ext_tw_video_thumb/1220246203973230595/pu/img/hnbnFbI1hm681zLA.jpg,Adam Back,Malta 🇲🇹,"cypherpunk, cryptographer, privacy/ecash, inventor hashcash (used in Bitcoin mining) PhD Comp Sci http://adam3.us Co-Founder/CEO http://blockstream.com",https://twitter.com/adam3us/status/1220229699059814400?s=20,,,256,72,228029,1220229699059814400,1220246340510203904
2020-01-23T06:20:05.000Z,https://twitter.com/adam3us/status/1220229699059814400,https://pbs.twimg.com/profile_images/924365347217723392/GrGID0Uy_400x400.jpg,adam3us,"fun @blockstream green wallet multsig 2fa server doesn't learn liquid transaction types nor amounts, due to Confidential Transactions. via the magic of ZKPs it co-signs &amp; helps 2fa secure without visibity. blinding keys are known to sender &amp; recipient only http://blockstream.com/green/",,Adam Back,Malta 🇲🇹,"cypherpunk, cryptographer, privacy/ecash, inventor hashcash (used in Bitcoin mining) PhD Comp Sci http://adam3.us Co-Founder/CEO http://blockstream.com",http://blockstream.com/green/,,,275,56,228029,,1220229699059814400
2019-12-31T14:52:25.000Z,https://twitter.com/JamesClear/status/1212023711978659844,https://pbs.twimg.com/profile_images/958932211973152769/FUpkmn4u_400x400.jpg,JamesClear,"New goals don't deliver new results. New lifestyles do.

And a lifestyle is a process, not an outcome. 

For this reason, all of your energy should go into building better habits, not chasing better results.",,James Clear,,Author of the #1 NYT bestseller Atomic Habits (http://atomichabits.com). I write about building good habits. Over 1 million people read my 3-2-1 newsletter (see link),,,,8718,2945,410669,,1212023711978659844
2020-01-21T05:54:22.000Z,https://twitter.com/SwiftOnSecurity/status/1219498452587089921,https://pbs.twimg.com/profile_images/1337666327625015296/YQkdjc9n_400x400.jpg,SwiftOnSecurity,Still one of my favorite sub-heads. https://twitter.com/SwiftOnSecurity/status/1219498452587089921/photo/1,https://pbs.twimg.com/media/EOyHYLLX4AAkO34.jpg,SwiftOnSecurity,"Cyber, USA","Systems security, author http://DecentSecurity.com, http://GotPhish.com, SciFi @ http://UniversalShards.com, sysadmin, & SecEng. Microsoft MVP, Client Security 2021. they/them/tay",,,,7148,1090,320408,,1219498452587089921
2019-12-30T10:03:44.000Z,https://twitter.com/rtayar/status/1211588671394238464,https://pbs.twimg.com/profile_images/611188973323419649/0aSK3D7E_400x400.png,rtayar,"En @SomosFlat101 buscamos analistas digitales. Tenemos muchos retos en 2020 y buscamos personas curiosas, que le pongan cariño a su trabajo y que quieran aprender todos los días con un equipo top, ¿te interesa? &gt; https://www.flat101.es/empleo/analista-digital/ #empleo #analytics #trabajo 👇",,Ricardo Tayar,"Zaragoza, Madrid, Barcelona","CEO & Co-founder en http://www.flat101.es. Trabajando para mejorar negocios digitales: conversión y análisis digital, ecommerce, SEO, UX. Rock, comics y vino",https://www.flat101.es/empleo/analista-digital/,Oferta empleo Analista Digital en Flat 101 - Zaragoza / Madrid / Barcelona,"Apúntate a nuestra oferta de empleo para trabajar como analista digital en nuestra oficina de Madrid, Barcelona o Zaragoza.",27,46,18597,,1211588671394238464
2020-01-23T20:03:36.000Z,https://twitter.com/GregorySchier/status/1220436942090833928,https://pbs.twimg.com/profile_images/1290780083981103108/5acKh4E3_400x400.jpg,GregorySchier,"More companies need to actively support employee side projects and businesses 🚀

Put it in the employee agreement and mention it in job posts, interviews, and onboarding. Then, celebrate those who leave to grow something 🎉

Shout-out to @getdyspatch who implemented this ❤️ https://twitter.com/joelgascoigne/status/1220429746787573766",,Greg Schier ⛅️👨🏼‍💻🌲,Canada,"I'm an indie dev and design enthusiast:
😴 Bootstrapped @GetInsomnia (acquired 2019)
📚 Helping readers @ReadRally 
👨🏼‍🏫 Teaching @CodeSaladDev
💌 DMs open",https://twitter.com/joelgascoigne/status/1220429746787573766,,,30,7,2878,1220429746787573766,1220436942090833928
2020-01-23T19:35:00.000Z,https://twitter.com/joelgascoigne/status/1220429746787573766,https://pbs.twimg.com/profile_images/1212260099604897792/OU6OulZj_400x400.jpg,joelgascoigne,"At Buffer, we allow, even encourage, side projects / businesses. It's been beautiful to observe the positive impact of this non-zero-sum mentality.

Great example is @tiggreen (has side project making $1k/mo!). Interesting thoughts from him on the subject: https://tik.dev/dilemma",,Joel Gascoigne,"Boulder, CO","Co-founder & CEO, @Buffer. Finding my own path in business and life. Love to ski, surf, mountain bike. #BlackLivesMatter",https://tik.dev/dilemma,,,400,39,74099,,1220429746787573766
2020-01-22T10:44:48.000Z,https://twitter.com/marckohlbrugge/status/1219933929135722497,https://pbs.twimg.com/profile_images/1266846692848144385/uSDSRIi3_400x400.jpg,marckohlbrugge,"⚡️ Successful makers ship early and often.

🤔 But how? I think it comes down to confidence.

Confidence to not break your codebase. Confidence to get informed when it does happen. And confidence to then fix it.

Some ideas to increase your shipping confidence:",,Marc,"Eindhoven, Nederland","ship together on http://wip.co
hire talent on http://startup.jobs 
discover startups on http://betalist.com 
waste money on http://highscore.money 
read posts on http://marc.io",,,,148,28,28108,,1219933929135722497
2020-01-23T08:19:13.000Z,https://twitter.com/victorianoi/status/1220259677151383552,https://pbs.twimg.com/profile_images/1284026081973018624/ru_7coNK_400x400.jpg,victorianoi,@xoelipedes Check this out from @sawyerh ;) love reading all his highlights in Kindle https://medium.com/@sawyerh/how-i-export-process-and-resurface-my-kindle-highlights-addc9de9af1a,,Victoriano Izquierdo,"Madrid & Granada, Spain","Co-founder @graphext 
Data Science + Product + Business 
My newsletter @complex_facts 
💌 http://www.complexfacts.com
📷 http://victoriano.me
📷 http://instagram.com/victoriano",https://medium.com/@sawyerh/how-i-export-process-and-resurface-my-kindle-highlights-addc9de9af1a,"How I export, analyze, and resurface my Kindle highlights How I export, analyze, and resurface my Kindle highlights | by Sawyer Hollenshead | Medium","Using a serverless approach, natural language processing, and SMS My workflow for exporting my reading highlights, and how I publish those highlights to my personal website.",6,0,21586,,1220259677151383552
2020-01-24T08:32:14.000Z,https://twitter.com/Pantomima_Full/status/1220625343767248896,https://pbs.twimg.com/profile_images/874386950085595136/XKqzj-od_400x400.jpg,Pantomima_Full,"LOS JÓVENES LE VEN EN BLANCO Y NEGRO. 
Agradecimientos: #GhettoShopMadrid https://twitter.com/Pantomima_Full/status/1220625343767248896/video/1",https://pbs.twimg.com/ext_tw_video_thumb/1220625254177017857/pu/img/8-ltxWLtnMU8pvCN.jpg,Pantomima Full,"Madrid, España",Hemos perdido la contraseña de @PantomimaFull. No conseguimos recuperarla.,,,,18740,5557,265457,,1220625343767248896
2019-12-30T14:24:50.000Z,https://twitter.com/changelog/status/1211654381009063938,https://pbs.twimg.com/profile_images/1199065640331595776/BNCgPsAw_400x400.jpg,changelog,"Q: How do engineers use their holiday downtime?
A: https://twitter.com/changelog/status/1211654381009063938/video/1",https://pbs.twimg.com/ext_tw_video_thumb/1211654353758674944/pu/img/adYMWoOVwB4xlHLS.jpg,Changelog,Houston + Omaha,News & podcasts for developers (+ 🔥 memes),,,,2142,558,27322,,1211654381009063938
2020-01-21T09:43:47.000Z,https://twitter.com/wef/status/1219556184933437440,https://pbs.twimg.com/profile_images/565498192171507712/r2Hb2gvX_400x400.png,wef,".@GretaThunberg has just given this message to Davos.

 📕 Read more: https://wef.ch/2GaoJgx

@TIME #howtosavetheplanet #wef20 https://twitter.com/wef/status/1219556184933437440/video/1",https://pbs.twimg.com/ext_tw_video_thumb/1219555862051807232/pu/img/HnNutYhoMW2cDSEN.jpg,World Economic Forum,"Geneva, Switzerland",The international organization for public private cooperation. #wef21,https://wef.ch/2GaoJgx,This is what Greta Thunberg said at Davos 2020 | World Economic Forum This is what Greta Thunberg just told Davos,Greta Thunberg says the science shows us we have eight years to avoid climate catastrophe. Greta Thunberg says no one is listening to the numbers so she will keep repeating them.,12028,4419,3947233,,1219556184933437440
2020-01-21T17:31:16.000Z,https://twitter.com/sn00b/status/1219673832287543305,https://pbs.twimg.com/profile_images/1137432273932967937/6qM07i28_400x400.jpg,sn00b,"We, @CARTO, have just released CARTOframes 1.0, our own library for Spatial Data Science. 🚀🗺📊📈

https://carto.com/blog/spatial-analysis-cartoframes-release-announcement/",,Jesús Botella,"Madrid, España","💻👨‍🔧 at @Sketch ·
I used to build apps for Android & iOS a long time ago, after that I did maps and hardly ever Twitch.",https://carto.com/blog/spatial-analysis-cartoframes-release-announcement/,Speed up your spatial analysis with CARTOframes 1.0 | CARTO Blog Speed up your spatial analysis with CARTOframes 1.0,CARTOframes is the go-to tool for powering analysis with spatial insights and efficiently working with spatial data and spatial models,33,14,643,,1219673832287543305
2019-12-31T16:40:28.000Z,https://twitter.com/dhh/status/1212050901696954370,https://pbs.twimg.com/profile_images/975876868455809024/eK7mDppU_400x400.jpg,dhh,"Whenever I confuse myself into thinking that advocates of 80-hour work weeks are as extreme as it gets, I think of when Marissa Mayer advocated 130-hour weeks, and declared that startups that don't work weekends are bound to fail 😢 https://www.bloomberg.com/features/2016-marissa-mayer-interview-issue/ https://twitter.com/dhh/status/1212050901696954370/photo/1",https://pbs.twimg.com/media/ENIR3qCWsAIBvfq.png,DHH,,"Creator of Ruby on Rails, Founder & CTO at Basecamp & HEY, NYT best-selling author, and Le Mans 24h class-winning racing driver. No DMs, email: david@hey.com.",https://www.bloomberg.com/features/2016-marissa-mayer-interview-issue/,Bloomberg - Are you a robot?,,586,71,437556,,1212050901696954370
2020-01-23T08:47:46.000Z,https://twitter.com/elena_lape/status/1220266862170320896,https://pbs.twimg.com/profile_images/1329422661253001219/agJOSQsU_400x400.jpg,elena_lape,"Waking up early in the morning is so much easier if you have a fun thing planned early in the morning, like watching an episode of a series you love.",,Elena Lape,"London, UK",Nomadic techie in a burning love affair with London.,,,,1,0,863,,1220266862170320896
2019-12-31T16:01:36.000Z,https://twitter.com/m1guelpf/status/1212041122484236289,https://pbs.twimg.com/profile_images/1272338014941954051/-5YrJUHt_400x400.jpg,m1guelpf,"✉️ @ConvertKit announced a free plan today. Want to try it out &amp; get an extra 100 subscribers for free?

📩 DM me your email address and I'll send you an invite https://twitter.com/nathanbarry/status/1212020218878291968",,Miguel Piedrafita 🚀,"Oviedo, Spain","18-year-old indie maker & @laravelphp artist. Building http://sitesauce.app, http://auralite.io & more. vibing @genzmafia. he/him",https://twitter.com/nathanbarry/status/1212020218878291968,,,3,0,6653,1212020218878291968,1212041122484236289
2019-12-31T14:38:33.000Z,https://twitter.com/nathanbarry/status/1212020218878291968,https://pbs.twimg.com/profile_images/1033354885230522368/HYns_IBX_400x400.jpg,nathanbarry,"I saved my biggest announcement of the year for the last day!

ConvertKit just launched a free plan. 100% free. Build unlimited landing pages. Invite your friends to unlock more subscribers.

You can read all about it here:

https://nathanbarry.com/convertkit-free/",,Nathan Barry,"Boise, Idaho","Founder & CEO at @ConvertKit. Hobbies: writing books, woodworking, playing soccer, traveling, and designing software.",https://nathanbarry.com/convertkit-free/,,,461,67,32621,,1212020218878291968
2020-01-21T21:08:02.000Z,https://twitter.com/revelstokemtn/status/1219728381983543296,https://pbs.twimg.com/profile_images/1322980812480917504/iwgwDgWJ_400x400.jpg,revelstokemtn,"We're not biggest or the flashiest - but if you're like us, you'd rather be shredding powder lines than standing IN line. 🤙 Check out @outsidemagazine's list of small ski towns with big potential. 

https://bit.ly/36bEBdf",,Revelstoke Mountain Resort,"Revelstoke, BC, Canada","Legendary powder. Big mountain terrain. Small town vibes. RMR is Canada's newest ski resort, offering the most vertical in North America at 5,620 feet.",https://bit.ly/36bEBdf,sms Twitter Icon Instagram Icon Pinterest Icon North America's Next Great Ski Towns | Outside Online These Are the Next Great Ski Towns Outside email Facebook Icon,"As locals get priced out of Aspen, Stowe, and Whistler, here are the places ski bums are heading to next As locals get priced out of ski towns like Aspen, Stowe, and Whistler, we went searching for the next great resort spots.",37,1,18016,,1219728381983543296
2020-01-24T13:42:30.000Z,https://twitter.com/ASpittel/status/1220703423173185537,https://pbs.twimg.com/profile_images/1309874183296430081/dqeg6yyH_400x400.jpg,ASpittel,"Hi, hello.

I am recruiting for a senior C++ position. You must also know Rust, Kubernetes, JavaScript, PHP, and Brainfuck.

We will give you $1 and 0 days off.

But we have a ping pong table and beer.

Plz work 4 us after 18 rounds of whiteboarding.

Ur impressive.",,Ali Spittel 🐞,"Chicago, IL",Senior Developer Advocate @awsamplify // co-host @ladybugpodcast // blogger @welearncode // Python + JavaScript engineer && teacher // tweets my own,,,,5350,789,91145,,1220703423173185537
2020-01-22T15:00:54.000Z,https://twitter.com/bentossell/status/1219998378085486593,https://pbs.twimg.com/profile_images/747474443644080128/uJ4UYake_400x400.jpg,bentossell,"The first @Makerpad Challenge is out!

Theme: Automations (@parabolahq, @zapier, @retoolapp, @integromat etc)

Prizes:
🥇: $500 + Free membership + Makerpad swag
🥈: Free membership + Makerpad swag
🥉: Makerpad swag

Jan 22 to Jan 31

Community voting.

https://forum.makerpad.co/t/automation-challenge-the-brief/187",,Ben Tossell,"London, England",no-code education | Founder http://makerpad.co | Investor in no-code/low-code tools http://makerpad.fund,https://forum.makerpad.co/t/automation-challenge-the-brief/187,404 Not found 404 Not found | Makerpad,,93,12,31767,,1219998378085486593
2020-01-22T19:19:42.000Z,https://twitter.com/chadloder/status/1220063505941811201,https://pbs.twimg.com/profile_images/1334926008944713728/RMA8dlrc_400x400.jpg,chadloder,"interviewer: Why did you leave your last job?

you: Why did your last engineer leave?",,Chad Loder,"Los Angeles, CA","Founder, inventor, author, thorn-in-the-side of the surveillance state. Anti-fascist, anti-racist in progress. ▌#BlackLivesMatter",,,,5583,993,81561,,1220063505941811201
2019-12-30T18:05:03.000Z,https://twitter.com/Entrepreneur/status/1211709801497071618,https://pbs.twimg.com/profile_images/474753665970868224/GcoCzmcI_400x400.jpeg,Entrepreneur,Why Science Says 6 Hours of Sleep Isn't Enough for Entrepreneurs | by @jboitnott http://entm.ag/jl91,,Entrepreneur,"Irvine, CA","Inspiring, informing and celebrating entrepreneurs.",http://entm.ag/jl91,Why Science Says 6 Hours of Sleep Isn't Enough for Entrepreneurs,Studies show that sleeping may be more important to achieving success than anyone realized.,94,51,3536125,,1211709801497071618
2020-01-22T19:32:36.000Z,https://twitter.com/lexilewtan/status/1220066754463858688,https://pbs.twimg.com/profile_images/532976987816476672/QnM3YiG3_400x400.png,lexilewtan,Are there any active investors who specifically invest in bootrapped companies?,,Lexi Lewtan,San Francisco,Founder of Centered: MasterClass for your mental health. Prev @angellist. Email me: lexilewtan@gmail.com,,,,145,9,4674,,1220066754463858688
2019-12-03T21:19:30.000Z,https://twitter.com/BrianNorgard/status/1201974262661206016,https://pbs.twimg.com/profile_images/3610854526/1fae6073057ae5725bebbc0815c0123d_400x400.jpeg,BrianNorgard,You first 10 years of work are a journey to find the the people you want to work with for the next 50.,,Norgard,,"Entrepreneur & investor. Ex-CPO, Tinder. Architect of the top grossing app. Investor @SpaceX @Lyft @AngelList @NotionHQ @Airtable @DiDiGlobal & many more...",,,,1874,323,69694,,1201974262661206016
2020-01-21T20:44:10.000Z,https://twitter.com/zedjayhill/status/1219722377996591105,https://pbs.twimg.com/profile_images/2544334169/4vuwymo8panelodalhvx_400x400.jpeg,zedjayhill,"If you're a developer with systems skills that thrives on building APIs and working with data and are looking for a new gig, let me know. We're hiring @anchore in a bunch of roles from product dev, integrations, to UI and design as well as devops/release. Remote work is a-ok!",,Zach Hill,"Goleta, CA","Husband, Father, perpetual learner, and some other stuff that's less important. Current work: Chief Architect and Director of Eng. 
@anchore. Tweets are my own.",,,,2,1,220,,1219722377996591105
2019-12-31T23:09:37.000Z,https://twitter.com/mhdempsey/status/1212148835528691717,https://pbs.twimg.com/profile_images/1248374454436032520/8VSGS2ta_400x400.jpg,mhdempsey,I feel like a lot of engineers feel this way about scaling startups. And probably are correct like 50% of the time. https://twitter.com/BrentBeshore/status/1212148062711205889,,Michael Dempsey,Los Angeles + New York City,"Dreaming about the future, romanticizing the past | GP @compoundvc investing in former science projects/deep tech with a thesis-driven approach at seed & growth",https://twitter.com/BrentBeshore/status/1212148062711205889,,,30,2,11608,1212148062711205889,1212148835528691717
2019-12-31T23:06:33.000Z,https://twitter.com/BrentBeshore/status/1212148062711205889,https://pbs.twimg.com/profile_images/1140592638413795328/AQQs0JWa_400x400.png,BrentBeshore,"@APompliano ""The billion dollar SaaS company I joined is a ticking time bomb of technical debt. We can barely ship anything. The CTO sugarcoats the situation to the CEO, clients and investors. If only someone thought to ask the engineers...""",,Brent Beshore,Flyover Country,"Christian // @PermanentEquity // @CapitalCamp // Author of ""The Messy Marketplace""",,,,68,4,76433,,1212148062711205889
2020-01-23T19:35:00.000Z,https://twitter.com/joelgascoigne/status/1220429746787573766,https://pbs.twimg.com/profile_images/1212260099604897792/OU6OulZj_400x400.jpg,joelgascoigne,"At Buffer, we allow, even encourage, side projects / businesses. It's been beautiful to observe the positive impact of this non-zero-sum mentality.

Great example is @tiggreen (has side project making $1k/mo!). Interesting thoughts from him on the subject: https://tik.dev/dilemma",,Joel Gascoigne,"Boulder, CO","Co-founder & CEO, @Buffer. Finding my own path in business and life. Love to ski, surf, mountain bike. #BlackLivesMatter",https://tik.dev/dilemma,Working for someone vs. doing your own thing | Ruminations on building software Working for someone vs. doing your own thing,I’ve wanted to write about this subject for quite some time and only today decided to finally sit down with no distractions. I put my phone…,400,39,74099,,1220429746787573766
2019-11-26T15:14:12.000Z,https://twitter.com/joantubau/status/1199345616792383498,https://pbs.twimg.com/profile_images/1256883468853817344/coWQ8d_K_400x400.jpg,joantubau,"@Freakonomics 4 libros de economía para adolescentes:

1. El economista camuflado https://www.amazon.es/El-economista-camuflado-Divulgaci%C3%B3n-Actualidad/dp/8484605361

2. La lógica oculta de la vida https://www.amazon.es/l%C3%B3gica-oculta-vida-Divulgaci%C3%B3n-Actualidad/dp/8484607399

3. Freakonomics https://www.amazon.es/Freakonomics-BOLSILLO-Steven-D-Levitt/dp/8496581810/ref=pd_sim_14_1/259-2950923-4219411?_encoding=UTF8&pd_rd_i=8496581810&pd_rd_r=5d16ea32-f4db-4bdd-8227-d3512334c392&pd_rd_w=Ni1aF&pd_rd_wg=lmIds&pf_rd_p=6337f499-a6c2-4ef6-8539-cbf295487a0e&pf_rd_r=B4AMACYNK7WTQSFBM27N&psc=1&refRID=B4AMACYNK7WTQSFBM27N

y 4. Superfreakonomics https://www.amazon.es/Superfreakonomics-Enfriamiento-prostitutas-patri%C3%B3ticas-terroristas/dp/8499088139/ref=pd_sbs_14_2/259-2950923-4219411?_encoding=UTF8&pd_rd_i=8499088139&pd_rd_r=09b33594-1c67-4885-84e7-b24fa4d19d9a&pd_rd_w=zuC8I&pd_rd_wg=jcPJv&pf_rd_p=71620895-af79-4429-92c2-a38434153b95&pf_rd_r=H7PYRZXHG16Z2BZC0391&psc=1&refRID=H7PYRZXHG16Z2BZC0391",,joan tubau,,Economía en la UPF. Carreras en @joincardinal_. Guts & Glory,https://www.amazon.es/Superfreakonomics-Enfriamiento-prostitutas-patri%C3%B3ticas-terroristas/dp/8499088139/ref=pd_sbs_14_2/259-2950923-4219411?_encoding=UTF8&pd_rd_i=8499088139&pd_rd_r=09b33594-1c67-4885-84e7-b24fa4d19d9a&pd_rd_w=zuC8I&pd_rd_wg=jcPJv&pf_rd_p=71620895-af79-4429-92c2-a38434153b95&pf_rd_r=H7PYRZXHG16Z2BZC0391&psc=1&refRID=H7PYRZXHG16Z2BZC0391,"Superfreakonomics: Enfriamiento global, prostitutas patrióticas y por qué los terroristas suicidas deberían contratar un seguro de vida Best Seller: Amazon.es: Levitt,Steven D./Dubner,Stephen J.: Libros","Superfreakonomics: Enfriamiento global, prostitutas patrióticas y por qué los terroristas suicidas deberían contratar un seguro de vida Best Seller: Amazon.es: Levitt,Steven D./Dubner,Stephen J.: Libros",47,11,17746,,1199345616792383498
2020-01-22T20:58:16.000Z,https://twitter.com/_DanteGalindo/status/1220088313236938753,https://pbs.twimg.com/profile_images/1340698557536460807/_NVtncmH_400x400.jpg,_DanteGalindo,I wish people would stop thinking that their life is over at 30. If you are not six feet under the ground then you still have a fighting chance at accomplishing your goals! So stop bitching and start grinding! #ToughLove 💜💯,,💜 Dante Elegante 💜,"Juárez, Nuevo León","Twerking and Coding @KuvioCreative. #Witch, #Knitter, #Crocheter, #Seamstress, Creator of #TheCraftyCoder, and creator of #ClothesForMeByMe (06/02/2020) 💜💯",,,,63,10,1770,,1220088313236938753
2019-12-30T21:12:17.000Z,https://twitter.com/Aquel_Coche/status/1211756918118764545,https://pbs.twimg.com/profile_images/1320818410041888774/D9hZtf-9_400x400.jpg,Aquel_Coche,https://twitter.com/Aquel_Coche/status/1211756918118764545/photo/1,https://pbs.twimg.com/media/ENEGee_WsAAwEwp.jpg,Aquel Coche,On the road.,"¡Rápido, siga a aquel coche!                    
IG: http://instagram.com/aquelcoche",,,,17040,7084,63246,,1211756918118764545
